"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
563.6,3.415891,563.6,0,0,,
570,3.411332,570,0,0,,
576.7,3.397025,576.7,0,0,,
583.5,3.363865,583.5,0,0,,
590.4,3.359915,590.4,0,0,,
597.5,3.356503,597.5,0,0,,
604.8,3.345643,604.8,0,0,,
612.3,3.335427,612.3,0,0,,
619.9,3.324595,619.9,0,0,,
627.8,3.320627,627.8,0,0,,
635.8,3.310146,635.8,0,0,,
644.1,3.293316,644.1,0,0,,
652.5,3.290695,652.5,0,0,,
661.2,3.278105,661.2,0,0,,
670.2,3.268897,670.2,0,0,,
679.4,3.2719,679.4,0,0,,
688.8,3.249443,688.8,0,0,,
698.5,3.245419,698.5,0,0,,
708.5,3.251057,708.5,0,0,,
718.7,3.243253,718.7,0,0,,
729.3,3.232604,729.3,0,0,,
740.2,3.221851,740.2,0,0,,
751.4,3.219656,751.4,0,0,,
763,3.220472,763,0,0,,
774.9,3.212886,774.9,0,0,,
787.2,3.183844,787.2,0,0,,
799.9,3.179011,799.9,0,0,,
813,3.18935,813,0,0,,
826.6,3.181148,826.6,0,0,,
840.6,3.170646,840.6,0,0,,
855.1,3.160293,855.1,0,0,,
870.1,3.160033,870.1,0,0,,
885.6,3.149992,885.6,0,0,,
901.7,3.139738,901.7,0,0,,
918.4,3.129863,918.4,0,0,,
935.7,3.13011,935.7,0,0,,
953.7,3.129231,953.7,0,0,,
972.4,3.120053,972.4,0,0,,
991.9,3.118516,991.9,0,0,,
1012,3.094183,1012,0,0,,
1033,3.054775,1033,0,0,,
1055,3.040542,1055,0,0,,
1078,3.052356,1078,0,0,,
1102,3.061391,1102,0,0,,
1127,3.06672,1127,0,0,,
1153,3.074055,1153,0,0,,
1181,3.080932,1181,0,0,,
1210,3.085405,1210,0,0,,
1240,3.0848,1240,0,0,,
1272,3.08229,1272,0,0,,
1305,3.078328,1305,0,0,,
1340,3.073364,1340,0,0,,
1378,3.06785,1378,0,0,,
1417,3.062197,1417,0,0,,
